SCAN_SN,PCBA_SN,WiFi1MAC,BT_MAC,WiFi2MAC,SCAN_TIME
,1945PO0033,28FD80A17062,28FD80A17063,28FD80A17064,
,1945PO0034,28FD80A17065,28FD80A17066,28FD80A17067,
,1945PO0035,28FD80A17068,28FD80A17069,28FD80A1706A,
,1945PO0036,28FD80A1706B,28FD80A1706C,28FD80A1706D,
,1945PO0037,28FD80A1706E,28FD80A1706F,28FD80A17070,
,1945PO0038,28FD80A17071,28FD80A17072,28FD80A17073,
,1945PO0039,28FD80A17074,28FD80A17075,28FD80A17076,
,1945PO0040,28FD80A17077,28FD80A17078,28FD80A17079,
,1945PO0041,28FD80A1707A,28FD80A1707B,28FD80A1707C,
,1945PO0042,28FD80A1707D,28FD80A1707E,28FD80A1707F,
,1945PO0043,28FD80A17080,28FD80A17081,28FD80A17082,
,1945PO0044,28FD80A17083,28FD80A17084,28FD80A17085,
,1945PO0045,28FD80A17086,28FD80A17087,28FD80A17088,
,1945PO0046,28FD80A17089,28FD80A1708A,28FD80A1708B,
,1945PO0047,28FD80A1708C,28FD80A1708D,28FD80A1708E,
,1945PO0048,28FD80A1708F,28FD80A17090,28FD80A17091,
,1945PO0049,28FD80A17092,28FD80A17093,28FD80A17094,
,1945PO0050,28FD80A17095,28FD80A17096,28FD80A17097,
,1945PO0051,28FD80A17098,28FD80A17099,28FD80A1709A,
,1945PO0052,28FD80A1709B,28FD80A1709C,28FD80A1709D,
,1945PO0053,28FD80A1709E,28FD80A1709F,28FD80A170A0,
,1945PO0054,28FD80A170A1,28FD80A170A2,28FD80A170A3,
,1945PO0055,28FD80A170A4,28FD80A170A5,28FD80A170A6,
,1945PO0056,28FD80A170A7,28FD80A170A8,28FD80A170A9,
,1945PO0057,28FD80A170AA,28FD80A170AB,28FD80A170AC,
,1945PO0058,28FD80A170AD,28FD80A170AE,28FD80A170AF,
,1945PO0059,28FD80A170B0,28FD80A170B1,28FD80A170B2,
,1945LB0001,28FD80A170B3,28FD80A170B4,28FD80A170B5,
,1945LB0002,28FD80A170B6,28FD80A170B7,28FD80A170B8,
,1945LB0003,28FD80A170B9,28FD80A170BA,28FD80A170BB,
,1945LB0004,28FD80A170BC,28FD80A170BD,28FD80A170BE,
,1945LB0005,28FD80A170BF,28FD80A170C0,28FD80A170C1,
,1945LB0006,28FD80A170C2,28FD80A170C3,28FD80A170C4,
,1945AU0001,28FD80A170C5,28FD80A170C6,28FD80A170C7,
,1945AU0002,28FD80A170C8,28FD80A170C9,28FD80A170CA,
,1945AU0003,28FD80A170CB,28FD80A170CC,28FD80A170CD,
,1945AU0004,28FD80A170CE,28FD80A170CF,28FD80A170D0,
,1945AU0005,28FD80A170D1,28FD80A170D2,28FD80A170D3,
,1945AU0006,28FD80A170D4,28FD80A170D5,28FD80A170D6,
,1945AU0007,28FD80A170D7,28FD80A170D8,28FD80A170D9,
,1945AU0008,28FD80A170DA,28FD80A170DB,28FD80A170DC,
,1945AU0009,28FD80A170DD,28FD80A170DE,28FD80A170DF,
,1945AU0010,28FD80A170E0,28FD80A170E1,28FD80A170E2,
,1945AU0011,28FD80A170E3,28FD80A170E4,28FD80A170E5,
,1945AU0012,28FD80A170E6,28FD80A170E7,28FD80A170E8,
,1945AU0013,28FD80A170E9,28FD80A170EA,28FD80A170EB,
,1945AU0014,28FD80A170EC,28FD80A170ED,28FD80A170EE,
,1945AU0015,28FD80A170EF,28FD80A170F0,28FD80A170F1,
,1945AU0016,28FD80A170F2,28FD80A170F3,28FD80A170F4,
,1945AU0017,28FD80A170F5,28FD80A170F6,28FD80A170F7,
,1945AU0018,28FD80A170F8,28FD80A170F9,28FD80A170FA,
,1945AU0019,28FD80A170FB,28FD80A170FC,28FD80A170FD,
,1945AU0020,28FD80A170FE,28FD80A170FF,28FD80A17100,
,1945AU0021,28FD80A17101,28FD80A17102,28FD80A17103,
,1945AU0022,28FD80A17104,28FD80A17105,28FD80A17106,
,1945AU0023,28FD80A17107,28FD80A17108,28FD80A17109,
,1945AU0024,28FD80A1710A,28FD80A1710B,28FD80A1710C,
,1945AU0025,28FD80A1710D,28FD80A1710E,28FD80A1710F,
,1945AU0026,28FD80A17110,28FD80A17111,28FD80A17112,
,1945AU0027,28FD80A17113,28FD80A17114,28FD80A17115,
,1945AU0028,28FD80A17116,28FD80A17117,28FD80A17118,
,1945AU0029,28FD80A17119,28FD80A1711A,28FD80A1711B,
,1945AU0030,28FD80A1711C,28FD80A1711D,28FD80A1711E,
,1945AU0031,28FD80A1711F,28FD80A17120,28FD80A17121,
,1945AU0032,28FD80A17122,28FD80A17123,28FD80A17124,
,1945AU0033,28FD80A17125,28FD80A17126,28FD80A17127,
,1945AU0034,28FD80A17128,28FD80A17129,28FD80A1712A,
,1945AU0035,28FD80A1712B,28FD80A1712C,28FD80A1712D,
,1945AU0036,28FD80A1712E,28FD80A1712F,28FD80A17130,
,1945AU0037,28FD80A17131,28FD80A17132,28FD80A17133,
,1945AU0038,28FD80A17134,28FD80A17135,28FD80A17136,
,1945AU0039,28FD80A17137,28FD80A17138,28FD80A17139,
,1945AU0040,28FD80A1713A,28FD80A1713B,28FD80A1713C,
,1945AU0041,28FD80A1713D,28FD80A1713E,28FD80A1713F,
,1945AU0042,28FD80A17140,28FD80A17141,28FD80A17142,
,1945AU0043,28FD80A17143,28FD80A17144,28FD80A17145,
,1945AU0044,28FD80A17146,28FD80A17147,28FD80A17148,
,1945AU0045,28FD80A17149,28FD80A1714A,28FD80A1714B,
,1945AU0046,28FD80A1714C,28FD80A1714D,28FD80A1714E,
,1945AU0047,28FD80A1714F,28FD80A17150,28FD80A17151,
,1945AU0048,28FD80A17152,28FD80A17153,28FD80A17154,
,1945AU0049,28FD80A17155,28FD80A17156,28FD80A17157,
,1945AU0050,28FD80A17158,28FD80A17159,28FD80A1715A,
,1945AU0051,28FD80A1715B,28FD80A1715C,28FD80A1715D,
,1945AU0052,28FD80A1715E,28FD80A1715F,28FD80A17160,
,1945AU0053,28FD80A17161,28FD80A17162,28FD80A17163,
,1945AU0054,28FD80A17164,28FD80A17165,28FD80A17166,
,1945AU0055,28FD80A17167,28FD80A17168,28FD80A17169,
,1945AU0056,28FD80A1716A,28FD80A1716B,28FD80A1716C,
,1945AU0057,28FD80A1716D,28FD80A1716E,28FD80A1716F,
,1945AU0058,28FD80A17170,28FD80A17171,28FD80A17172,
,1945AU0059,28FD80A17173,28FD80A17174,28FD80A17175,
,1945AU0060,28FD80A17176,28FD80A17177,28FD80A17178,
,1945AU0061,28FD80A17179,28FD80A1717A,28FD80A1717B,
,1945AU0062,28FD80A1717C,28FD80A1717D,28FD80A1717E,
,1945AU0063,28FD80A1717F,28FD80A17180,28FD80A17181,
,1945AU0064,28FD80A17182,28FD80A17183,28FD80A17184,
,1945AU0065,28FD80A17185,28FD80A17186,28FD80A17187,
,1945AU0066,28FD80A17188,28FD80A17189,28FD80A1718A,
,1945AU0067,28FD80A1718B,28FD80A1718C,28FD80A1718D,
,1945AU0068,28FD80A1718E,28FD80A1718F,28FD80A17190,
,1945AU0069,28FD80A17191,28FD80A17192,28FD80A17193,
,1945AU0070,28FD80A17194,28FD80A17195,28FD80A17196,
,1945AU0071,28FD80A17197,28FD80A17198,28FD80A17199,
,1945AU0072,28FD80A1719A,28FD80A1719B,28FD80A1719C,
,1945AU0073,28FD80A1719D,28FD80A1719E,28FD80A1719F,
,1945AU0074,28FD80A171A0,28FD80A171A1,28FD80A171A2,
,1945AU0075,28FD80A171A3,28FD80A171A4,28FD80A171A5,
,1945AU0076,28FD80A171A6,28FD80A171A7,28FD80A171A8,
,1945AU0077,28FD80A171A9,28FD80A171AA,28FD80A171AB,
,1945AU0078,28FD80A171AC,28FD80A171AD,28FD80A171AE,
,1945AU0079,28FD80A171AF,28FD80A171B0,28FD80A171B1,
,1945AU0080,28FD80A171B2,28FD80A171B3,28FD80A171B4,
,1945AU0081,28FD80A171B5,28FD80A171B6,28FD80A171B7,
,1945AU0082,28FD80A171B8,28FD80A171B9,28FD80A171BA,
,1945AU0083,28FD80A171BB,28FD80A171BC,28FD80A171BD,
,1945AU0084,28FD80A171BE,28FD80A171BF,28FD80A171C0,
,1945AU0085,28FD80A171C1,28FD80A171C2,28FD80A171C3,
,1945AU0086,28FD80A171C4,28FD80A171C5,28FD80A171C6,
,1945AU0087,28FD80A171C7,28FD80A171C8,28FD80A171C9,
,1945AU0088,28FD80A171CA,28FD80A171CB,28FD80A171CC,
,1945AU0089,28FD80A171CD,28FD80A171CE,28FD80A171CF,
,1945AU0090,28FD80A171D0,28FD80A171D1,28FD80A171D2,
,1945AU0091,28FD80A171D3,28FD80A171D4,28FD80A171D5,
,1945AU0092,28FD80A171D6,28FD80A171D7,28FD80A171D8,
,1945AU0093,28FD80A171D9,28FD80A171DA,28FD80A171DB,
,1945AU0094,28FD80A171DC,28FD80A171DD,28FD80A171DE,
,1945AU0095,28FD80A171DF,28FD80A171E0,28FD80A171E1,
,1945AU0096,28FD80A171E2,28FD80A171E3,28FD80A171E4,
,1945AU0097,28FD80A171E5,28FD80A171E6,28FD80A171E7,
,1945AU0098,28FD80A171E8,28FD80A171E9,28FD80A171EA,
,1945AU0099,28FD80A171EB,28FD80A171EC,28FD80A171ED,
,1945AU0100,28FD80A171EE,28FD80A171EF,28FD80A171F0,
,1945AU0101,28FD80A171F1,28FD80A171F2,28FD80A171F3,
,1945AU0102,28FD80A171F4,28FD80A171F5,28FD80A171F6,
,1945AU0103,28FD80A171F7,28FD80A171F8,28FD80A171F9,
,1945AU0104,28FD80A171FA,28FD80A171FB,28FD80A171FC,
,1945AU0105,28FD80A171FD,28FD80A171FE,28FD80A171FF,
,1945AU0106,28FD80A17200,28FD80A17201,28FD80A17202,
,1945AU0107,28FD80A17203,28FD80A17204,28FD80A17205,
,1945AU0108,28FD80A17206,28FD80A17207,28FD80A17208,
,1945AU0109,28FD80A17209,28FD80A1720A,28FD80A1720B,
,1945AU0110,28FD80A1720C,28FD80A1720D,28FD80A1720E,
,1945AU0111,28FD80A1720F,28FD80A17210,28FD80A17211,
,1945AU0112,28FD80A17212,28FD80A17213,28FD80A17214,
,1945AU0113,28FD80A17215,28FD80A17216,28FD80A17217,
